epoch,train_loss,train_auroc,train_auprc,train_accuracy,train_f1,val_loss,val_auroc,val_auprc,val_accuracy,val_f1
1,0.4425426419287103,0.4905806451612903,0.6966229919985547,0.5244338498212158,0.6246472248353716,0.41404398481051125,0.4808201058201058,0.7465108601446753,0.45,0.56
2,0.4053526903648058,0.5948998302207131,0.7722669627692598,0.4958283671036949,0.5336273428886439,0.4144752820332845,0.4699074074074074,0.7500982779193242,0.45,0.37735849056603776
3,0.4023407419191072,0.6127945670628183,0.7793160398840568,0.5613825983313468,0.632,0.4259910007317861,0.4957010582010582,0.6964370883589792,0.3,0.0
4,0.40256553849247556,0.6093310696095077,0.7837100925878869,0.5399284862932062,0.5876068376068376,0.41548574566841123,0.5224867724867724,0.7142691569950482,0.7,0.8217821782178217
5,0.3868410547882212,0.6670016977928692,0.8220215193340759,0.6114421930870083,0.6998158379373849,0.41661751667658486,0.5479497354497354,0.7147758672956812,0.3,0.0
6,0.3667839903015914,0.7627979626485569,0.8661800647782422,0.6889153754469607,0.7553889409559512,0.4107509990533193,0.5727513227513227,0.7207087455054046,0.525,0.5899280575539568
7,0.34032337408384067,0.8185398981324278,0.9115400375035453,0.7401668653158522,0.8043087971274686,0.4167231102784475,0.5892857142857142,0.7280512697736465,0.7,0.8144329896907216
8,0.29632670141943024,0.897120543293718,0.949733107954327,0.831942789034565,0.8759894459102903,0.4134645342826843,0.5942460317460317,0.723979403491311,0.4,0.35714285714285715
9,0.2620572211915745,0.9185195246179965,0.9604019057200899,0.8438617401668653,0.884377758164166,0.45471019943555196,0.5810185185185185,0.7086131192754888,0.7083333333333334,0.8223350253807107
10,0.22931417079555833,0.9287470288624788,0.9676460986073374,0.8438617401668653,0.88272157564906,0.4303502897421519,0.5866402116402116,0.7198525361945505,0.65,0.7558139534883721
