dataset,run_id,rows,train_rows,val_rows,test_rows,test_auroc,test_auprc,test_accuracy,test_f1,test_loss,best_val_auroc,model_weights,training_log,test_predictions,metrics_json
BindingDB_Kd,bindingdb_kd_20260226T131021Z,8000,5599,800,1601,0.8359340196255491,0.49741834322289763,0.7339163023110555,0.48175182481751827,0.8732346069209654,0.8444315489143576,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/bindingdb_kd_20260226T131021Z/baseline_cnn_weights.pt,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/bindingdb_kd_20260226T131021Z/training_log.csv,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/bindingdb_kd_20260226T131021Z/test_predictions.csv,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/bindingdb_kd_20260226T131021Z/metrics.json
DAVIS,davis_20260226T130538Z,8000,5599,800,1601,0.7992004737933076,0.2328440155690178,0.835103060587133,0.22807017543859648,1.0501156440755117,0.824858757062147,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/davis_20260226T130538Z/baseline_cnn_weights.pt,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/davis_20260226T130538Z/training_log.csv,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/davis_20260226T130538Z/test_predictions.csv,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/davis_20260226T130538Z/metrics.json
KIBA,kiba_20260226T130746Z,8000,5599,800,1601,0.7588880243333097,0.47369227074360776,0.79262960649594,0.43728813559322033,0.984546305833944,0.7504144062688367,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/kiba_20260226T130746Z/baseline_cnn_weights.pt,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/kiba_20260226T130746Z/training_log.csv,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/kiba_20260226T130746Z/test_predictions.csv,/Users/sneha/Downloads/Final Year/Week4/Deliverables/week4/runs/kiba_20260226T130746Z/metrics.json
